Rel Strike,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3
98.5%,0.0334,0.0301,0.0267,0.0235,0.0203,0.0172,0.0143,0.0116,0.0091,0.0068,0.0048,0.0032,0.0019,0.0010,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000
98.6%,0.0490,0.0448,0.0406,0.0364,0.0323,0.0281,0.0241,0.0202,0.0164,0.0129,0.0097,0.0069,0.0045,0.0026,0.0013,0.0005,0.0001,0.0000,0.0000,0.0000
98.8%,0.0699,0.0649,0.0599,0.0547,0.0495,0.0442,0.0389,0.0337,0.0285,0.0234,0.0185,0.0140,0.0099,0.0064,0.0036,0.0016,0.0005,0.0001,0.0000,0.0000
98.9%,0.0970,0.0914,0.0856,0.0796,0.0734,0.0670,0.0605,0.0538,0.0470,0.0402,0.0333,0.0266,0.0202,0.0142,0.0090,0.0048,0.0019,0.0004,0.0000,0.0000
99.1%,0.1311,0.1250,0.1187,0.1121,0.1051,0.0979,0.0903,0.0824,0.0742,0.0656,0.0567,0.0476,0.0384,0.0293,0.0206,0.0127,0.0062,0.0020,0.0002,0.0000
99.2%,0.1835,0.1774,0.1710,0.1641,0.1569,0.1491,0.1408,0.1320,0.1226,0.1124,0.1016,0.0899,0.0775,0.0643,0.0504,0.0361,0.0223,0.0102,0.0023,0.0000
99.4%,0.2342,0.2285,0.2224,0.2160,0.2090,0.2015,0.1935,0.1847,0.1751,0.1647,0.1533,0.1406,0.1266,0.1110,0.0937,0.0744,0.0533,0.0312,0.0113,0.0006
99.5%,0.2916,0.2868,0.2817,0.2761,0.2701,0.2636,0.2565,0.2487,0.2400,0.2305,0.2198,0.2077,0.1939,0.1781,0.1595,0.1376,0.1114,0.0797,0.0424,0.0074
99.7%,0.3548,0.3513,0.3475,0.3434,0.3389,0.3340,0.3286,0.3227,0.3161,0.3087,0.3002,0.2906,0.2793,0.2660,0.2500,0.2301,0.2046,0.1705,0.1219,0.0497
99.8%,0.4221,0.4202,0.4181,0.4159,0.4134,0.4107,0.4078,0.4044,0.4007,0.3965,0.3917,0.3861,0.3796,0.3717,0.3619,0.3495,0.3330,0.3093,0.2712,0.1947
99.9%,0.4917,0.4916,0.4914,0.4913,0.4911,0.4909,0.4907,0.4905,0.4902,0.4899,0.4895,0.4890,0.4885,0.4879,0.4870,0.4860,0.4845,0.4823,0.4786,0.4702
100.1%,0.5779,0.5800,0.5823,0.5847,0.5874,0.5903,0.5935,0.5970,0.6010,0.6055,0.6107,0.6166,0.6236,0.6319,0.6422,0.6553,0.6727,0.6974,0.7369,0.8152
100.3%,0.6449,0.6486,0.6526,0.6568,0.6615,0.6666,0.6721,0.6783,0.6851,0.6928,0.7015,0.7114,0.7230,0.7366,0.7530,0.7733,0.7992,0.8338,0.8825,0.9536
100.4%,0.7077,0.7126,0.7179,0.7236,0.7297,0.7364,0.7437,0.7517,0.7605,0.7702,0.7811,0.7934,0.8074,0.8234,0.8422,0.8642,0.8906,0.9223,0.9591,0.9931
100.6%,0.7646,0.7704,0.7766,0.7832,0.7902,0.7979,0.8061,0.8150,0.8246,0.8352,0.8468,0.8596,0.8738,0.8895,0.9069,0.9263,0.9474,0.9694,0.9891,0.9994
100.7%,0.8147,0.8209,0.8275,0.8345,0.8419,0.8497,0.8581,0.8671,0.8766,0.8869,0.8979,0.9096,0.9222,0.9355,0.9495,0.9639,0.9778,0.9899,0.9978,1.0000
100.9%,0.8576,0.8638,0.8703,0.8771,0.8843,0.8918,0.8997,0.9080,0.9167,0.9257,0.9352,0.9450,0.9550,0.9651,0.9749,0.9840,0.9918,0.9972,0.9997,1.0000
101.0%,0.8931,0.8990,0.9051,0.9114,0.9179,0.9246,0.9316,0.9387,0.9460,0.9534,0.9609,0.9683,0.9756,0.9824,0.9886,0.9937,0.9973,0.9994,1.0000,1.0000
101.2%,0.9276,0.9327,0.9380,0.9432,0.9486,0.9540,0.9595,0.9649,0.9703,0.9755,0.9806,0.9853,0.9896,0.9932,0.9962,0.9983,0.9995,0.9999,1.0000,1.0000
101.3%,0.9486,0.9530,0.9573,0.9617,0.9660,0.9703,0.9745,0.9786,0.9825,0.9862,0.9896,0.9926,0.9951,0.9971,0.9986,0.9995,0.9999,1.0000,1.0000,1.0000
101.5%,0.9644,0.9680,0.9715,0.9749,0.9782,0.9815,0.9846,0.9875,0.9902,0.9926,0.9947,0.9965,0.9979,0.9989,0.9995,0.9999,1.0000,1.0000,1.0000,1.0000
